Date : 2025-09-26 12:14:38
Directory : /Users/rayn/Desktop/Projects/NodeJS/mmpro_tasks/frontend/src
Total : 94 files,  4626 codes, 155 comments, 666 blanks, all 5447 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         37 |      3,148 |        142 |        412 |      3,702 |
| SCSS           |         25 |        748 |         13 |        138 |        899 |
| TypeScript     |         32 |        730 |          0 |        116 |        846 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |         94 |      4,626 |        155 |        666 |      5,447 |
| . (Files)                                                                                                                 |          2 |         56 |          2 |          8 |         66 |
| assets                                                                                                                    |          1 |          6 |          0 |          1 |          7 |
| assets/fonts                                                                                                              |          1 |          6 |          0 |          1 |          7 |
| components                                                                                                                |         63 |      3,897 |        153 |        553 |      4,603 |
| components/Admin                                                                                                          |          2 |        196 |         14 |         22 |        232 |
| components/App                                                                                                            |          2 |         70 |          1 |          6 |         77 |
| components/ArtistSimpleDialog                                                                                             |          1 |         86 |          2 |         11 |         99 |
| components/ArtistsLoading                                                                                                 |          2 |        457 |         13 |         52 |        522 |
| components/ContextMenu                                                                                                    |          1 |        148 |          9 |         24 |        181 |
| components/DropDown                                                                                                       |          2 |         64 |          3 |         10 |         77 |
| components/Error                                                                                                          |          3 |        181 |          4 |         23 |        208 |
| components/IconWrapper                                                                                                    |          1 |         15 |          0 |          3 |         18 |
| components/InfoBlock                                                                                                      |          8 |        470 |          8 |         56 |        534 |
| components/InfoBlock (Files)                                                                                              |          2 |        190 |          2 |         19 |        211 |
| components/InfoBlock/components                                                                                           |          6 |        280 |          6 |         37 |        323 |
| components/InfoBlock/components/Comment                                                                                   |          2 |        213 |          6 |         22 |        241 |
| components/InfoBlock/components/Description                                                                               |          2 |         44 |          0 |          9 |         53 |
| components/InfoBlock/components/Title                                                                                     |          2 |         23 |          0 |          6 |         29 |
| components/Layout                                                                                                         |         12 |        629 |         20 |         89 |        738 |
| components/Layout (Files)                                                                                                 |          2 |         43 |          1 |          7 |         51 |
| components/Layout/components                                                                                              |         10 |        586 |         19 |         82 |        687 |
| components/Layout/components/Header                                                                                       |          2 |        187 |          3 |         21 |        211 |
| components/Layout/components/ItemsBlock                                                                                   |          2 |        158 |         10 |         28 |        196 |
| components/Layout/components/LayoutItem                                                                                   |          2 |         87 |          4 |         14 |        105 |
| components/Layout/components/Sidebar                                                                                      |          2 |         81 |          1 |          7 |         89 |
| components/Layout/components/Statusline                                                                                   |          2 |         73 |          1 |         12 |         86 |
| components/MyTasks                                                                                                        |          1 |         55 |          4 |         12 |         71 |
| components/Popups                                                                                                         |         14 |        805 |         39 |        106 |        950 |
| components/Popups/CreateArtist                                                                                            |          2 |         82 |          7 |         12 |        101 |
| components/Popups/CreateComment                                                                                           |          3 |        336 |         13 |         36 |        385 |
| components/Popups/CreateProject                                                                                           |          2 |         98 |          5 |         13 |        116 |
| components/Popups/CreateScene                                                                                             |          2 |        105 |          5 |         15 |        125 |
| components/Popups/CreateTask                                                                                              |          2 |         91 |          5 |         14 |        110 |
| components/Popups/ImagePreview                                                                                            |          3 |         93 |          4 |         16 |        113 |
| components/ProjectsList                                                                                                   |          2 |         75 |          6 |         17 |         98 |
| components/ProtectedRoute                                                                                                 |          1 |         16 |          1 |          5 |         22 |
| components/ScenesList                                                                                                     |          1 |         76 |          7 |         18 |        101 |
| components/Shot                                                                                                           |          1 |         39 |          1 |          6 |         46 |
| components/ShotsList                                                                                                      |          3 |        106 |          6 |         23 |        135 |
| components/Signup                                                                                                         |          2 |         67 |          0 |         17 |         84 |
| components/SnackBar                                                                                                       |          1 |         50 |          1 |          8 |         59 |
| components/Task                                                                                                           |          2 |        242 |          9 |         36 |        287 |
| components/TelegramAuth                                                                                                   |          1 |         50 |          5 |          9 |         64 |
| scss                                                                                                                      |          2 |         21 |          0 |          5 |         26 |
| types                                                                                                                     |          8 |         87 |          0 |         14 |        101 |
| utils                                                                                                                     |          5 |        294 |          0 |         41 |        335 |
| zustand                                                                                                                   |         13 |        265 |          0 |         44 |        309 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                  | language       | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
